game_pk,date,game_time_utc,venue_id,venue_name,home_team,away_team,home_team_id,away_team_id,home_runs,away_runs,total_runs,home_sp_id,home_sp_name,away_sp_id,away_sp_name
745264,2024-05-10,2024-05-11T01:40:00Z,680,T-Mobile Park,Seattle Mariners,Oakland Athletics,136,133,8,1,9,693433,Bryan Woo,621112,Paul Blackburn
745340,2024-05-10,2024-05-11T02:15:00Z,2395,Oracle Park,San Francisco Giants,Cincinnati Reds,137,113,2,4,6,657277,Logan Webb,671096,Andrew Abbott
744943,2024-05-11,2024-05-11T19:07:00Z,14,Rogers Centre,Toronto Blue Jays,Minnesota Twins,141,142,10,8,18,592332,Kevin Gausman,680573,Simeon Woods Richardson
747041,2024-05-11,2024-05-11T20:05:00Z,2,Oriole Park at Camden Yards,Baltimore Orioles,Arizona Diamondbacks,110,109,5,4,9,607644,John Means,669194,Ryne Nelson
745505,2024-05-11,2024-05-11T20:05:00Z,31,PNC Park,Pittsburgh Pirates,Chicago Cubs,134,112,10,9,19,694973,Paul Skenes,657006,Justin Steele
746963,2024-05-11,2024-05-11T20:10:00Z,3,Fenway Park,Boston Red Sox,Washington Nationals,111,120,4,2,6,681867,Cooper Criswell,663623,Jake Irvin
745828,2024-05-11,2024-05-11T20:10:00Z,3289,Citi Field,New York Mets,Atlanta Braves,121,144,1,4,5,681035,Christian Scott,608331,Max Fried
746069,2024-05-11,2024-05-11T20:10:00Z,4169,loanDepot park,Miami Marlins,Philadelphia Phillies,146,143,3,8,11,666200,Jesús Luzardo,592836,Taijuan Walker
745096,2024-05-11,2024-05-11T20:10:00Z,12,Tropicana Field,Tampa Bay Rays,New York Yankees,139,147,7,2,9,641793,Zack Littell,641482,Nestor Cortes
746480,2024-05-11,2024-05-11T22:10:00Z,2394,Comerica Park,Detroit Tigers,Houston Astros,116,117,8,2,10,669373,Tarik Skubal,664299,Cristian Javier
746797,2024-05-11,2024-05-11T23:10:00Z,4,Guaranteed Rate Field,Chicago White Sox,Cleveland Guardians,145,114,3,1,4,605182,Mike Clevinger,663474,Triston McKenzie
745344,2024-05-11,2024-05-11T23:15:00Z,2395,Oracle Park,San Francisco Giants,Cincinnati Reds,137,113,5,1,6,696131,Mason Black,666157,Nick Lodolo
745994,2024-05-11,2024-05-11T23:15:00Z,32,American Family Field,Milwaukee Brewers,St. Louis Cardinals,158,138,5,3,8,642547,Freddy Peralta,502043,Kyle Gibson
746554,2024-05-11,2024-05-12T00:10:00Z,19,Coors Field,Colorado Rockies,Texas Rangers,115,140,8,3,11,663372,Ryan Feltner,571760,Andrew Heaney
745422,2024-05-11,2024-05-12T00:40:00Z,2680,Petco Park,San Diego Padres,Los Angeles Dodgers,135,119,0,5,5,663362,Matt Waldron,572020,James Paxton
746232,2024-05-11,2024-05-12T01:38:00Z,1,Angel Stadium,Los Angeles Angels,Kansas City Royals,108,118,9,3,12,542881,Tyler Anderson,666142,Cole Ragans
745262,2024-05-11,2024-05-12T01:40:00Z,680,T-Mobile Park,Seattle Mariners,Oakland Athletics,136,133,1,8,9,682243,Bryce Miller,683155,Joey Estes
