game_pk,date,venue_name,temp_f,wind_mph,wind_deg,wind_out,is_dome
746578,2024-09-28,Progressive Field,,,,False,False
747066,2024-09-28,Truist Park,,,,False,False
746171,2024-09-28,Angel Stadium,,,,False,False
746499,2024-09-28,Coors Field,,,,False,False
745203,2024-09-28,T-Mobile Park,,,,False,False
745282,2024-09-29,Oracle Park,,,,False,False
746901,2024-09-29,Fenway Park,,,,False,False
745686,2024-09-29,Yankee Stadium,,,,False,False
744798,2024-09-29,Nationals Park,,,,False,False
746174,2024-09-29,Angel Stadium,,,,False,False
745201,2024-09-29,T-Mobile Park,,,,False,False
746496,2024-09-29,Coors Field,,,,False,False
745846,2024-09-29,Target Field,,,,False,False
745932,2024-09-29,American Family Field,,,,False,False
