game_pk,date,season,home_team,away_team,predicted,open_total,close_total,actual_total,edge,bet,won,push,profit_units,clv,edge_bucket
634194,2021-05-09,2021,St. Louis Cardinals,Colorado Rockies,8.12933872758866,7.5,7.0,2,1.1293387275886602,OVER,False,False,-1.1,-0.5,0-0.5
634153,2021-05-10,2021,San Francisco Giants,Texas Rangers,8.096571431751258,7.0,7.0,4,1.0965714317512578,OVER,False,False,-1.1,0.0,
634176,2021-05-10,2021,Baltimore Orioles,Boston Red Sox,10.111968503589637,9.5,9.0,5,1.1119685035896367,OVER,False,False,-1.1,-0.5,0-0.5
634159,2021-05-11,2021,Milwaukee Brewers,St. Louis Cardinals,7.763820634479529,7.5,7.0,7,0.7638206344795293,OVER,False,True,0.0,-0.5,0-0.5
634180,2021-05-11,2021,Arizona Diamondbacks,Miami Marlins,9.028784261341102,8.0,8.0,14,1.0287842613411016,OVER,True,False,1.0,0.0,
634147,2021-05-11,2021,Chicago White Sox,Minnesota Twins,8.927555547351844,8.5,7.5,12,1.4275555473518438,OVER,True,False,1.0,-1.0,0.5-1.0
634163,2021-05-11,2021,Atlanta Braves,Toronto Blue Jays,10.27650784074784,8.5,9.5,8,0.7765078407478399,OVER,False,False,-1.1,1.0,0.5-1.0
634144,2021-05-11,2021,Washington Nationals,Philadelphia Phillies,10.250415311450965,9.0,9.0,8,1.2504153114509649,OVER,False,False,-1.1,0.0,
634164,2021-05-11,2021,San Francisco Giants,Texas Rangers,8.850575910205848,8.0,8.0,6,0.8505759102058477,OVER,False,False,-1.1,0.0,
634172,2021-05-12,2021,Houston Astros,Los Angeles Angels,9.689124570484168,9.0,8.5,10,1.189124570484168,OVER,True,False,1.0,-0.5,0-0.5
634183,2021-05-12,2021,Arizona Diamondbacks,Miami Marlins,10.36349342882157,7.5,9.0,5,1.3634934288215703,OVER,False,False,-1.1,1.5,1.0-1.5
634186,2021-05-12,2021,Detroit Tigers,Kansas City Royals,8.89435623704911,8.0,8.0,6,0.8943562370491094,OVER,False,False,-1.1,0.0,
634137,2021-05-12,2021,Pittsburgh Pirates,Cincinnati Reds,7.88233469545365,7.5,7.0,6,0.8823346954536504,OVER,False,False,-1.1,-0.5,0-0.5
634125,2021-05-13,2021,Chicago White Sox,Minnesota Twins,8.904138074512488,7.5,7.5,6,1.4041380745124883,OVER,False,False,-1.1,0.0,
634158,2021-05-13,2021,Milwaukee Brewers,St. Louis Cardinals,7.792949185962684,7.0,6.5,2,1.2929491859626836,OVER,False,False,-1.1,-0.5,0-0.5
634145,2021-05-14,2021,Los Angeles Dodgers,Miami Marlins,7.934901700611121,7.0,6.5,15,1.434901700611121,OVER,True,False,1.0,-0.5,0-0.5
634118,2021-05-14,2021,Milwaukee Brewers,Atlanta Braves,8.61656139909745,8.0,7.5,9,1.1165613990974492,OVER,True,False,1.0,-0.5,0-0.5
634143,2021-05-15,2021,San Diego Padres,St. Louis Cardinals,8.035374150867469,7.0,7.0,16,1.0353741508674688,OVER,True,False,1.0,0.0,
634139,2021-05-15,2021,Toronto Blue Jays,Philadelphia Phillies,8.994322286243445,9.5,10.0,4,-1.0056777137565547,UNDER,True,False,1.0,-0.5,0-0.5
634104,2021-05-15,2021,Baltimore Orioles,New York Yankees,9.388664708728797,9.0,8.5,10,0.8886647087287969,OVER,True,False,1.0,-0.5,0-0.5
634134,2021-05-16,2021,Milwaukee Brewers,Atlanta Braves,7.834634767169959,7.0,7.0,19,0.834634767169959,OVER,True,False,1.0,0.0,
634071,2021-05-16,2021,Tampa Bay Rays,New York Mets,8.405039296741492,7.5,7.5,8,0.9050392967414922,OVER,True,False,1.0,0.0,
634068,2021-05-16,2021,Houston Astros,Texas Rangers,8.448267446155555,8.0,7.5,8,0.9482674461555547,OVER,True,False,1.0,-0.5,0-0.5
634100,2021-05-16,2021,Boston Red Sox,Los Angeles Angels,8.282540784473426,9.5,9.5,11,-1.2174592155265742,UNDER,False,False,-1.1,-0.0,
634069,2021-05-16,2021,Toronto Blue Jays,Philadelphia Phillies,9.182214246387488,10.5,10.0,18,-0.8177857536125117,UNDER,False,False,-1.1,0.5,0-0.5
634099,2021-05-17,2021,Texas Rangers,New York Yankees,9.155449376697549,8.0,8.0,7,1.1554493766975487,OVER,False,False,-1.1,0.0,
634077,2021-05-17,2021,Minnesota Twins,Chicago White Sox,10.64238403856278,8.5,9.5,20,1.1423840385627795,OVER,True,False,1.0,1.0,0.5-1.0
634043,2021-05-18,2021,Kansas City Royals,Milwaukee Brewers,8.601558194751746,7.5,7.5,2,1.101558194751746,OVER,False,False,-1.1,0.0,
634052,2021-05-18,2021,Chicago Cubs,Washington Nationals,10.471900449390418,8.5,9.0,9,1.471900449390418,OVER,False,True,0.0,0.5,0-0.5
634058,2021-05-18,2021,Cincinnati Reds,San Francisco Giants,8.967867360706336,8.5,8.0,6,0.9678673607063359,OVER,False,False,-1.1,-0.5,0-0.5
634046,2021-05-19,2021,Seattle Mariners,Detroit Tigers,9.020878301258094,8.5,8.0,8,1.0208783012580938,OVER,False,True,0.0,-0.5,0-0.5
634033,2021-05-19,2021,Los Angeles Dodgers,Arizona Diamondbacks,8.662234769458777,7.5,7.5,6,1.1622347694587774,OVER,False,False,-1.1,0.0,
634018,2021-05-20,2021,Toronto Blue Jays,Boston Red Sox,8.648581014270789,10.0,10.0,15,-1.351418985729211,UNDER,False,False,-1.1,-0.0,
634041,2021-05-20,2021,Atlanta Braves,Pittsburgh Pirates,10.239150510425574,8.5,9.0,10,1.2391505104255742,OVER,True,False,1.0,0.5,0-0.5
634054,2021-05-21,2021,Philadelphia Phillies,Boston Red Sox,9.411363111133582,8.0,8.5,14,0.911363111133582,OVER,True,False,1.0,0.5,0-0.5
634089,2021-05-21,2021,Miami Marlins,New York Mets,8.193182454700477,7.5,7.0,11,1.1931824547004766,OVER,True,False,1.0,-0.5,0-0.5
634017,2021-05-22,2021,Cincinnati Reds,Milwaukee Brewers,9.791592107410438,8.5,9.0,7,0.7915921074104375,OVER,False,False,-1.1,0.5,0-0.5
633999,2021-05-22,2021,Miami Marlins,New York Mets,8.113889203662879,7.5,7.0,4,1.113889203662879,OVER,False,False,-1.1,-0.5,0-0.5
634025,2021-05-23,2021,Texas Rangers,Houston Astros,10.144079671497352,9.0,9.0,5,1.1440796714973516,OVER,False,False,-1.1,0.0,
633998,2021-05-23,2021,Miami Marlins,New York Mets,8.483856664295203,7.5,7.0,6,1.4838566642952031,OVER,False,False,-1.1,-0.5,0-0.5
634004,2021-05-23,2021,Philadelphia Phillies,Boston Red Sox,8.655401692981727,8.0,7.5,8,1.1554016929817266,OVER,True,False,1.0,-0.5,0-0.5
633989,2021-05-23,2021,Cincinnati Reds,Milwaukee Brewers,9.086174474353797,8.5,8.0,13,1.0861744743537969,OVER,True,False,1.0,-0.5,0-0.5
633955,2021-05-24,2021,Oakland Athletics,Seattle Mariners,8.849023328418738,8.0,7.5,6,1.3490233284187383,OVER,False,False,-1.1,-0.5,0-0.5
