game_pk,date,season,home_team,away_team,predicted,open_total,close_total,actual_total,edge,bet,won,push,profit_units,clv,edge_bucket
633801,2021-06-08,2021,Cincinnati Reds,Milwaukee Brewers,9.684626560574326,8.5,8.5,6,1.1846265605743262,OVER,False,False,-1.1,0.0,
633757,2021-06-10,2021,Cincinnati Reds,Milwaukee Brewers,8.86233669822924,8.5,8.0,9,0.8623366982292406,OVER,True,False,1.0,-0.5,0-0.5
633720,2021-06-11,2021,Minnesota Twins,Houston Astros,9.021453620176052,10.5,10.5,10,-1.478546379823948,UNDER,True,False,1.0,-0.0,
633723,2021-06-12,2021,Los Angeles Dodgers,Texas Rangers,9.11351545629333,7.5,8.0,13,1.1135154562933298,OVER,True,False,1.0,0.5,0-0.5
633713,2021-06-13,2021,Milwaukee Brewers,Pittsburgh Pirates,9.671140189984971,9.0,8.5,7,1.1711401899849712,OVER,False,False,-1.1,-0.5,0-0.5
633711,2021-06-13,2021,Cincinnati Reds,Colorado Rockies,8.844271842191434,9.5,10.0,8,-1.155728157808566,UNDER,True,False,1.0,-0.5,0-0.5
633673,2021-06-14,2021,Chicago White Sox,Tampa Bay Rays,8.234217289765242,7.5,7.0,7,1.2342172897652421,OVER,False,True,0.0,-0.5,0-0.5
633678,2021-06-14,2021,New York Mets,Chicago Cubs,10.165985970752928,9.0,9.0,7,1.1659859707529279,OVER,False,False,-1.1,0.0,
633656,2021-06-15,2021,Oakland Athletics,Los Angeles Angels,8.821894278302842,8.5,8.0,10,0.8218942783028425,OVER,True,False,1.0,-0.5,0-0.5
633676,2021-06-15,2021,Chicago White Sox,Tampa Bay Rays,8.813928930508512,8.5,8.0,3,0.8139289305085118,OVER,False,False,-1.1,-0.5,0-0.5
633653,2021-06-15,2021,Toronto Blue Jays,New York Yankees,8.217003562844202,8.5,9.5,11,-1.2829964371557985,UNDER,False,False,-1.1,-1.0,0.5-1.0
633634,2021-06-16,2021,Chicago White Sox,Tampa Bay Rays,8.405628259644221,8.0,7.5,15,0.9056282596442209,OVER,True,False,1.0,-0.5,0-0.5
633600,2021-06-18,2021,San Francisco Giants,Philadelphia Phillies,9.674792355869124,8.5,8.5,8,1.1747923558691244,OVER,False,False,-1.1,0.0,
633574,2021-06-20,2021,Texas Rangers,Minnesota Twins,8.821852732020277,8.5,8.0,6,0.8218527320202771,OVER,False,False,-1.1,-0.5,0-0.5
633575,2021-06-20,2021,New York Yankees,Oakland Athletics,8.922103568535833,9.5,10.0,3,-1.0778964314641666,UNDER,True,False,1.0,-0.5,0-0.5
633572,2021-06-22,2021,Pittsburgh Pirates,Chicago White Sox,8.325205781862582,7.5,7.5,9,0.8252057818625822,OVER,True,False,1.0,0.0,
633553,2021-06-23,2021,Texas Rangers,Oakland Athletics,9.92477309302981,9.0,9.0,8,0.9247730930298097,OVER,False,False,-1.1,0.0,
633502,2021-06-24,2021,St. Louis Cardinals,Pittsburgh Pirates,7.783102506440469,8.5,9.0,10,-1.2168974935595314,UNDER,False,False,-1.1,-0.5,0-0.5
633556,2021-06-25,2021,Texas Rangers,Kansas City Royals,8.958724085542583,8.0,8.0,13,0.9587240855425829,OVER,True,False,1.0,0.0,
633608,2021-06-25,2021,Los Angeles Dodgers,Chicago Cubs,9.888140151364796,9.0,9.0,8,0.8881401513647962,OVER,False,False,-1.1,0.0,
633545,2021-06-25,2021,New York Mets,Philadelphia Phillies,6.743125264701794,6.0,5.5,3,1.2431252647017939,OVER,False,False,-1.1,-0.5,0-0.5
633531,2021-06-26,2021,Boston Red Sox,New York Yankees,8.520289683746842,10.0,10.0,6,-1.4797103162531577,UNDER,True,False,1.0,-0.0,
633520,2021-06-26,2021,Toronto Blue Jays,Baltimore Orioles,8.72457534064214,10.0,10.0,16,-1.27542465935786,UNDER,False,False,-1.1,-0.0,
633509,2021-06-26,2021,Detroit Tigers,Houston Astros,8.514186810497016,8.0,7.5,5,1.0141868104970158,OVER,False,False,-1.1,-0.5,0-0.5
633501,2021-06-27,2021,Chicago White Sox,Seattle Mariners,8.49747043320771,7.0,7.0,5,1.4974704332077096,OVER,False,False,-1.1,0.0,
633477,2021-06-27,2021,Boston Red Sox,New York Yankees,8.62348543516203,8.5,9.5,11,-0.8765145648379704,UNDER,False,False,-1.1,-1.0,0.5-1.0
633488,2021-06-29,2021,Oakland Athletics,Texas Rangers,9.891091249553982,8.0,8.5,9,1.3910912495539822,OVER,True,False,1.0,0.5,0-0.5
633446,2021-06-29,2021,Milwaukee Brewers,Chicago Cubs,8.291651290617665,7.0,7.5,3,0.7916512906176649,OVER,False,False,-1.1,0.5,0-0.5
633445,2021-06-30,2021,Toronto Blue Jays,Seattle Mariners,9.3740073163588,10.5,10.5,16,-1.1259926836412006,UNDER,False,False,-1.1,-0.0,
633484,2021-06-30,2021,New York Yankees,Los Angeles Angels,8.550144696738792,9.5,10.0,19,-1.4498553032612076,UNDER,False,False,-1.1,-0.5,0-0.5
633419,2021-06-30,2021,Philadelphia Phillies,Miami Marlins,9.44139106083796,8.5,8.5,17,0.9413910608379599,OVER,True,False,1.0,0.0,
633474,2021-06-30,2021,Milwaukee Brewers,Chicago Cubs,9.29720786801578,8.5,8.5,22,0.7972078680157804,OVER,True,False,1.0,0.0,
633457,2021-07-01,2021,Boston Red Sox,Kansas City Royals,8.978198178946405,10.5,10.0,16,-1.0218018210535948,UNDER,False,False,-1.1,0.5,0-0.5
633456,2021-07-01,2021,Toronto Blue Jays,Seattle Mariners,9.03109535119264,9.5,10.0,9,-0.96890464880736,UNDER,True,False,1.0,-0.5,0-0.5
633433,2021-07-02,2021,Kansas City Royals,Minnesota Twins,9.147390351058965,10.5,10.0,11,-0.8526096489410353,UNDER,False,False,-1.1,0.5,0-0.5
633464,2021-07-02,2021,Toronto Blue Jays,Tampa Bay Rays,9.082450553398328,9.5,10.0,12,-0.9175494466016723,UNDER,False,False,-1.1,-0.5,0-0.5
633507,2021-07-02,2021,Pittsburgh Pirates,Milwaukee Brewers,8.536160826782996,8.5,7.5,9,1.0361608267829965,OVER,True,False,1.0,-1.0,0.5-1.0
633401,2021-07-03,2021,Oakland Athletics,Boston Red Sox,8.009951018594743,9.0,9.5,13,-1.4900489814052573,UNDER,False,False,-1.1,-0.5,0-0.5
633403,2021-07-03,2021,Toronto Blue Jays,Tampa Bay Rays,8.739295203006101,10.5,10.0,9,-1.260704796993899,UNDER,True,False,1.0,0.5,0-0.5
633440,2021-07-03,2021,New York Yankees,New York Mets,9.724436611276523,8.0,8.5,11,1.2244366112765235,OVER,True,False,1.0,0.5,0-0.5
633431,2021-07-04,2021,Kansas City Royals,Minnesota Twins,8.831570233086595,10.0,10.0,8,-1.1684297669134054,UNDER,True,False,1.0,-0.0,
